claim_id,locations,paper_value_or_scope,evidence_locator,evidence_value,status,action
HCL-010,"manuscript.md:203","Lean 4.34.0-rc2; approximately 13-14 seconds per candidate; accepted returncode 0 and dependencies propext, Classical.choice, Quot.sound","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/{history,standard}/submissions/*/RESULT.json#/compilation/commands/0; .../history/workspace/lean-toolchain:1; .../22_ENVIRONMENT/TOOLCHAIN_ORIGIN.json","Compiler times are 13.9127, 13.0084, 14.1219, 13.9886 and 14.2614 s; rounded to nearest second they are 14,13,14,14,14; accepted record has returncode 0 and exactly the three listed dependencies",rounding_ok,"None"
HCL-011,"manuscript.md:205; supplementary_information.md:214,554","859 payload identities; 6 response streams; 5 candidate insertions/receipts; 243 common workspace files outside candidate module","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/PACKAGE_MANIFEST.json#/files; .../10_CURRENT_RUN/{history,standard}/requests/*/wire.bin; .../submissions/*; .../{history,standard}/workspace","Fresh checks found 859/859 manifest hashes valid; 6 wire streams; 5 submissions; each workspace has 244 files, with 243 byte-identical and only Branch/Direct.lean different",exact_match,"None"
HCL-012,"manuscript.md:205","Collector duplicated two mirrored reasoning fields; bytes retained","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/{history,standard}/requests/*/wire.bin","For all six streams, delta.reasoning and delta.reasoning_content are byte-for-byte equal; character counts per field are 16,641; 16,993; 22,426; 97,950; 7,872; 13,919",exact_match,"None"
HCL-013,"manuscript.md:197,205","Models returned proof-body text without shell/history/search tools; later requests received only visible bodies and compiler feedback","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/20_TASK_AND_RUNNER/run_direct.py:101-135; .../10_CURRENT_RUN/{history,standard}/requests/*/tool_calls.json; request.json#/messages","All six tool_calls.json files are empty; continuation messages include visible.utf8 and compiler feedback, not saved reasoning fields",exact_match,"None"
HCL-014,"manuscript.md:205,233; supplementary_information.md:551-552","Saved-candidate replay and independent kernel validation were NOT_RUN because the compatible toolchain/container was unavailable in the later analysis","The declared primary roots contain the historical compiler records and pinned 4.34.0-rc2 source, but no admissible raw later probe receipt; narrative/status summaries were excluded by audit instruction","Historical compilation is evidenced; the later non-execution reason is not independently traceable in the admissible raw input set",missing_evidence,"Add the raw replay probe receipt (tool discovery, return code and timestamp) to Source Data, or shorten to 'not rerun in this revision'"
HCL-015,"manuscript.md:122,175; supplementary_information.md:168-206,442-480","Accepted candidate transports membership and the dependent inequality; final control transports membership but leaves the L_n/R_n^2 mismatch; generated hclose is consumed by supplied hmargin and ZeroOrderBounds","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/history/submissions/20260920T114931908693/body.lean.txt:3-21; .../standard/submissions/20260920T121411892800/body.lean.txt; compile/stdout.bin; .../23_REVIEW_ONLY_ORIGINAL_SOURCE/PrimaryCovarianceBounds.full_original.lean:424-441","Accepted body has both simpa transports and scalar chain; final control compile error says L_n expression was supplied where R_n^2 was expected; fixed source passes hclose to hmargin and then column_scale_bounds",exact_match,"None"
SUC-001,"manuscript.md:87,221-223; supplementary_information.md:498,563-565","Assistance: 4 formation episodes, 2 archived ancestors, 20 stages, 40 complete returns. Adoption: 8 new episodes, 32 stages, 64 returns. Total 52/104","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/A/PLAN.json#/parents,/stages; B/PLAN.json#/parents,/stages; A,B/stages/*/result_{00,01}.json","A has 4 parents in 2 ancestor clusters and 20 stage directories with 40 results; B has 8 parents with archive_parent=null and 32 stages with 64 results; totals 52 and 104",exact_match,"None"
SUC-002,"manuscript.md:97,173,223; supplementary_information.md:565,589-591","All 104 returns finish_reason=stop; 1 empty final in assistance and 4 in adoption; 7/8 adoption initial/revised code pairs identical","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/{A,B}/stages/*/result_{00,01}.json#/finish_reason; */artifact.json#/program; B/stages/P*/{W0,W1}/artifact.json#/program","104/104 stop; empty artefacts are A/P02_s0_W1 and B/P00_s0_W2,P00_s1_W2,P01_s1_W2,P07_s1_W2; direct programme comparison yields 7 identical pairs and P07 different",exact_match,"None"
SUC-003,"manuscript.md:225; Fig.3; supplementary_information.md:573","18,720 terminal rows checked; 40 inherited arrays matched; 9 selected combinations recomputed at 100 digits; stored 70-digit rounding retained","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/{A,B}/stages/*/{effect,parent_snapshot}.json; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/selected_witnesses.json","52*360=18,720 rows; 16 A plus 24 B parent snapshots equal predecessor id/z_after strings; 9 selected entries; fresh row-identity check maximum absolute storage discrepancy 1.62802e-61, consistent with 70-digit arithmetic",exact_match,"None"
SUC-004,"manuscript.md:223; supplementary_information.md:565","One historical assistance request remains unknown; separately authorised supplementary observation does not recover it and only occupies that analysis slot","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/ZENODO_CANDIDATES/03_FULL_SCIENTIFIC_RECORDS/SUCCESSOR/rounds/20260918_ns_r6_ab_execution/science_A/stages/P01_s1_W2/request_01/parent_timeout.json; request_01/wire.bin; .../supplement_a_r3/REMOTE_SUPPLEMENT_MANIFEST.json; /home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/catalog.json#/transformations","Original receipt says UNKNOWN_COMPLETION after 1200 s; its 6,512,007-byte wire has no DONE, finish reason or usage; supplementary manifest identifies a separate request/result and catalog maps the exported P01_s1_W2 files to supplement_a_r3",exact_match,"None"
SUC-005,"supplementary_information.md:581-589","ZERO contrasts: 0,0,0 with denominators 144,144,288","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/main_contrasts.csv:2,7,12; recomputed from /home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/{A,B}/stages/*/effect.json","Fresh complete-denominator recomputation gives exactly 0.0 for all three contrasts and the stated pair counts",exact_match,"None"
SUC-006,"supplementary_information.md:581-589","UNIFORM contrasts: 4.362002266e-06, -7.74210004e-11, -3.43616067e-08; denominators 144,144,288","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/main_contrasts.csv:3,8,13; raw effect.json rows filtered to tau in {1/128,1/512}","Fresh values: 0.0000043620022655010155821407014552123254; -7.742100039596008381120149825486785e-11; -3.4361606703144723446210051817322642e-8",rounding_ok,"None"
SUC-007,"supplementary_information.md:581-589","LEFT contrasts: -224.6653146, -1020169.24, 1020169.24; denominators 144,144,288","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/main_contrasts.csv:4,9,14; raw effect.json rows","Fresh values: -224.66531461444457501251074011365819; -1020169.2403255056161585152111086724; 1020169.2403244162883944444260293112",rounding_ok,"None"
SUC-008,"supplementary_information.md:581-589","RIGHT contrasts: -224.6653322, -1020169.655, 1020169.655; denominators 144,144,288","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/main_contrasts.csv:5,10,15; raw effect.json rows","Fresh values: -224.6653321909743009145674669362408; -1020169.6545036761509804845955160509; 1020169.6545024724413237116479555572",rounding_ok,"None"
SUC-009,"supplementary_information.md:581-589","BOTH contrasts: -282.4465954, -1497107.113, 1497107.113; denominators 144,144,288","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/main_contrasts.csv:6,11,16; raw effect.json rows","Fresh values: -282.44659536107200478203483822532515; -1497107.1127416104367747454025882625; 1497107.1127412414727730503538541527",rounding_ok,"None"
SUC-010,"manuscript.md:89-93,173; supplementary_information.md:600-623","P00 selected coordinate initial/draft/effect whole residuals 1.5011272e-6, -1.1680410e-8, 1.8111e-71; final pure/cross about -/+1.4895364e-6; Fig.3 uses 1.811136e-71","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/A/stages/P00_s0_W1/{initial,draft,effect}.json#/rows[id=UNIFORM:t=1/64:x=1/8:s=0]; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/selected_coordinates.csv:2-4","Raw values are 1.501127174695...e-6, -1.168040990599...e-8, 1.811135815765...e-71, pure -1.489536390553...e-6, cross +1.489536390553...e-6",rounding_ok,"None"
SUC-011,"manuscript.md:89-93; supplementary_information.md:600-623","P00 programmes B0,C0; draft C1; final smooth secant C2; same r,u,target,z_before across versions; final programme and actual field reused at P00_s0_W2","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/A/stages/P00_s0_W1/{initial,draft,effect}.json#/program,/rows; P00_s0_W2/{initial,effect,parent_snapshot}.json","Programme strings match the displayed formulae; matched row inputs are identical; P00_s0_W2 initial/effect programme hash equals predecessor effect and its 360 parent-state strings equal predecessor z_after",exact_match,"None"
SUC-012,"manuscript.md:95; supplementary_information.md:627-639","P07 sequence B=-1/8 and C0=-1/2, C1=-1/2+u/2, C2=-1/2+u/2-u^2/2; residual orders tau^5,tau^6,tau^7 with displayed coefficients","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/B/stages/P07_{W0,W1,s0_W2}/artifact.json#/program; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/successor/symbolic_successor.json","Raw programme strings match; symbolic expansions are -a^2*b*t^5-3*a*b^2*t^7/4, a^3*b*t^6-3*a*b^2*t^7/4, and -a^4*b*t^7-3*a*b^2*t^7/4",exact_match,"None"
SUC-013,"supplementary_information.md:641; Fig.3c","P07 W1 old/new about -1.19294e-8/-1.26328e-10; P07 W2 old/new about -5.37347e-13/-2.72164e-15","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/B/stages/P07_W1/{initial,effect}.json and P07_s0_W2/{initial,effect}.json at UNIFORM:t=1/64:x=1/8:s=0","Raw residuals are -1.192935915660646...e-8, -1.2632797778403548...e-10, -5.373467175775688...e-13 and -2.721642550221472...e-15",rounding_ok,"None"
SUC-014,"supplementary_information.md:591-596","Valid programme outside support applies r/2; absent programme applies no update; E_linear=ur+r^2/4, E_no=-r, difference=zr+r^2/4; one trajectory approximately 1,-15,-143,-10383","Raw effect.json rows for empty artefacts and A/P00_s0_W2 or P01_s1_W2 outer rows; deterministic expansion","Empty artefact rows have increment 0; valid OUTSIDE rows have increment r/2; raw z values include 1, -15.0, -143.0000077500..., -10383.0011235211...",rounding_ok,"None"
SUC-015,"manuscript.md:97,124-126,217,225; supplementary_information.md:16,24,529,575-596,645","No stable average assistance/adoption benefit; selected traces are explanatory, not confirmatory; contrasts are execution-dependent and complete denominators retain null/empty/unchanged cases","Raw contrast recomputation; artefact emptiness; version identity; region/empty contribution decomposition","Signs vary by family and study; ZERO is null; 7/8 adoption versions are equal; extreme outer/empty paths dominate the large contrasts; no units were removed",exact_match,"None; the conservative scope statement is supported"
HIST-001,"supplementary_information.md:503-515; Extended Data Table 1","Full endpoint: 4 branches,55 requests,0 writes; adapted:40,0 writes,stop; dynamic:23,0 writes","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/ZENODO_CANDIDATES/03_FULL_SCIENTIFIC_RECORDS/EARLIER_WORKFLOWS/20260919_ns_prebreakthrough_v3_execution/branches/*/{requests,history.jsonl}; .../20260919_ns_prebreakthrough_v3r3_execution/branches/*/{requests,history.jsonl,STOP}; .../20260919_ns_independent_history_handoff_v3r4/branches/*/{requests,history.jsonl}","4 branch directories with request counts 26+16+7+6=55 and no write op; adapted has 40 request receipts, no write op and STOP; dynamic has 23 receipts and no write op",exact_match,"None"
HIST-002,"supplementary_information.md:503-515; Extended Data Table 1","Material preparation:16 calls, packet not accepted,4 branches unrun","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/ZENODO_CANDIDATES/03_FULL_SCIENTIFIC_RECORDS/EARLIER_WORKFLOWS/20260919_ns_fixed_history_packet_v3r5/packet_preparation/TERMINAL.json; engineering/run_campaign.py:1,38; absence of branches directory","TERMINAL calls=16 and status=PREPARATION_NO_VALID_PACKET; runner requires exactly 4 branches; no branch directory was created",exact_match,"None"
HIST-003,"supplementary_information.md:503-515; Extended Data Table 1","Fixed-material:23 requests,0 writes,3 remaining branches unrun; precompiled:42 requests,0 writes,stop","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/ZENODO_CANDIDATES/03_FULL_SCIENTIFIC_RECORDS/EARLIER_WORKFLOWS/20260920_ns_fixed_history_packet_repair_v3r6/campaign/PLAN.json and branches/*/{requests,history.jsonl}; .../20260920_ns_engineering_ready_v3r7/campaign/PLAN.json and branches/*/{requests,history.jsonl,STOP}","Each plan has 4 branches; fixed-material created 1 branch with 23 receipts and no write op; precompiled created 1 branch with 42 receipts, no write op and STOP",exact_match,"None"
HIST-004,"supplementary_information.md:492-493","Early paused software A: first pair equal and later case incomplete; A-prime V1: 4 lineages,48 stages, unchanged deployment, zero primary contrasts","No admissible primary record for these episodes is present in the declared HClose, successor or added original-record roots; only excluded historical summaries/STATE would supply the counts","The figures are not contradicted, but cannot be independently traced under this audit's source restrictions",missing_evidence,"Add the immutable episode manifests/raw results, or remove the 4/48 and zero-contrast counts from this submission package"
HIST-005,"supplementary_information.md:494","A-double-prime: 9 submitted,1 no-submission stop,1 interruption,21 unrun","No admissible primary episode ledger in the declared evidence roots; summaries and STATE were explicitly excluded","No direct countable records supplied",missing_evidence,"Add the immutable branch ledger with typed terminal states, or cite this only as a historical-report statement without reproducing exact counts"
HIST-006,"supplementary_information.md:495","E1/E3: 8 completed stages,56 readable coordinates,4 E3 record/count discrepancies","No admissible raw E1/E3 stage or coordinate files in the declared evidence roots","No direct countable records supplied",missing_evidence,"Add the raw stage/coordinate export and discrepancy ledger, or remove the exact counts"
HIST-007,"manuscript.md:97; supplementary_information.md:496","Earlier finite-scalar/R4 comparisons converged after adaptation; post-adaptation differences zero or rounding scale and cold execution mixed","No admissible raw finite-scalar/R4 result files in the declared evidence roots","Scope statement may be true but is not independently traceable here",missing_evidence,"Add the raw comparison table or qualify explicitly as an earlier historical report"
FIG-001,"manuscript.md:171; Fig.2","r=1/5, v=1/10 curves; positive analytic minimax; inner/outer domains 1/4,1/8,1/2,1/4","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/FIGURES/figure2_minimax_and_domain.svg; SOURCE_DATA/figure2_analytic_curve.csv","SVG and caption use the same r,v and domain values; all curve rows report r=.2,v=.1; analytic minimum is positive",exact_match,"None"
FIG-002,"manuscript.md:173; Fig.3","1.811136e-71; 52 stages;104 returns;7/8 unchanged;5 empty;40 parent links; P00/P07 scope","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/FIGURES/figure3_successor_continuation.svg; raw successor files and selected_coordinates.csv","All displayed values and process arrows match raw records; point selection and no-average boundary are explicit",exact_match,"None"
FIG-003,"manuscript.md:175; Fig.4","6 requests,5 candidates; guided 2 rejected then accepted; control length/no body then 2 rejected; two transports; downstream use","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/FIGURES/figure4_hclose_application.svg; raw requests/candidates/compiler records; original source lines 424-441","Panel counts, statuses, transport direction and hclose-to-hmargin-to-ZeroOrderBounds relation all match evidence",exact_match,"None"
FIG-004,"manuscript.md:245; Extended Data Fig.1","Six exact input/output token pairs and truncation","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/FIGURES/extended_data_figure1_resources.svg; SOURCE_DATA/attempts.csv; raw request receipts","All 12 plotted labels exactly equal raw usage; first control request is correctly labelled truncated/no body",exact_match,"None"
FIG-005,"manuscript.md:247; supplementary_information.md:503-515; Extended Data Table 1","10 preserved workflow rows with the listed request/stage/return counts and evidence identities","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/FIGURES/extended_data_table1_history.svg; SOURCE_DATA/extended_data_table1_history.csv; raw HClose/successor/earlier workflow records","HClose, successor and six pre-hclose workflow counts reconcile; older A-prime/A-double-prime/E1-E3 claims do not appear in this 10-row Extended Data table and remain separately missing in SI Table 5",exact_match,"None for the Extended Data table itself"
ART-001,"SOURCE_DATA/FIGURE_INPUT_IDENTITIES.csv:2-10","Figure input identity stems and manuscript/SI hashes","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/FIGURE_INPUT_IDENTITIES.csv; current SUBMISSION files; BUILD/figures.py:184,254,363,434","CSV uses obsolete stems figure1_practice_cycle, figure2_finite_separation, figure3_hclose_application, figure4_recorded_attempts. It records manuscript hash 31e935... instead of current 1284d72... and SI hash 2ec025... instead of current 7b0cfd...",config_mismatch,"Regenerate FIGURE_INPUT_IDENTITIES.csv from the current build and current submission files before packaging"
ART-002,"SOURCE_DATA/source_data_figures.csv:4-5","Figure 3 mapped to six proof requests; Figure 4 mapped to final tactics/compiler mismatch","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/source_data_figures.csv; FIGURE_SOURCE_MAP.csv:4-5; current figure SVGs","Current Figure 3 is successor continuation and current Figure 4 is hclose application; source_data_figures.csv retains the prior numbering and omits successor Figure 3 sources",config_mismatch,"Replace source_data_figures.csv with the current FIGURE_SOURCE_MAP mapping or delete the redundant stale table"
DATA-001,"manuscript.md:229-233; supplementary_information.md:539-554","Review-support archive includes Source Data, task inputs, 5 candidates, 6 returned records, compiler records, figures and offline reproduction code","/home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/REVIEW_SUPPORT/MAOFIELD_REVIEW_SUPPORT.zip central directory","Archive contains the claimed source-data tables, six request receipts/visible/wire records, five candidate/body/compile groups, fixed source modules, successor inputs/outputs and reproduction scripts",exact_match,"None"
